sssr,clogp,mr,mw,tpsa,chi0n,chi1n,chi2n,chi3n,chi4n,chi0v,chi1v,chi2v,chi3v,chi4v,fracsp3,hall_kier_alpha,kappa1,kappa2,kappa3,labuteasa,number_aliphatic_rings,number_aromatic_rings,number_amide_bonds,number_atom_stereocenters,number_bridgehead_atoms,number_HBA,number_HBD,number_hetero_atoms,number_hetero_cycles,number_rings,number_rotatable_bonds,number_spiro,number_saturated_rings,number_heavy_atoms,number_nh_oh,number_n_o,number_valence_electrons,max_partial_charge,min_partial_charge,fr_C_O,fr_C_O_noCOO,fr_Al_OH,fr_Ar_OH,fr_methoxy,fr_oxime,fr_ester,fr_Al_COO,fr_Ar_COO,fr_COO,fr_COO2,fr_ketone,fr_ether,fr_phenol,fr_aldehyde,fr_quatN,fr_NH2,fr_NH1,fr_NH0,fr_Ar_N,fr_Ar_NH,fr_aniline,fr_Imine,fr_nitrile,fr_hdrzine,fr_hdrzone,fr_nitroso,fr_N_O,fr_nitro,fr_azo,fr_diazo,fr_azide,fr_amide,fr_priamide,fr_amidine,fr_guanido,fr_Nhpyrrole,fr_imide,fr_isocyan,fr_isothiocyan,fr_thiocyan,fr_halogen,fr_alkyl_halide,fr_sulfide,fr_SH,fr_C_S,fr_sulfone,fr_sulfonamd,fr_prisulfonamd,fr_barbitur,fr_urea,fr_term_acetylene,fr_imidazole,fr_furan,fr_thiophene,fr_thiazole,fr_oxazole,fr_pyridine,fr_piperdine,fr_piperzine,fr_morpholine,fr_lactam,fr_lactone,fr_tetrazole,fr_epoxide,fr_unbrch_alkane,fr_bicyclic,fr_benzene,fr_phos_acid,fr_phos_ester,fr_nitro_arom,fr_nitro_arom_nonortho,fr_dihydropyridine,fr_phenol_noOrthoHbond,fr_Al_OH_noTert,fr_benzodiazepine,fr_para_hydroxylation,fr_allylic_oxid,fr_aryl_methyl,fr_Ndealkylation1,fr_Ndealkylation2,fr_alkyl_carbamate,fr_ketone_Topliss,fr_ArN,fr_HOCCN
2,3.9351800000000026,76.11100000000005,251.131014164,33.019999999999996,11.043178140233177,6.494715616578911,4.400877080574534,3.1060450609687664,1.889954539274801,11.043178140233177,6.494715616578911,4.400877080574534,3.1060450609687664,1.889954539274801,0.23529411764705882,-2.269999999999999,13.168488081388784,6.605950952757644,3.592514627527629,113.81933280851966,0,2,0,1,0,2,0,2,0,2,5,0,0,19,0,2,96,0.11887448215982203,-0.4918716330101327,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2,3.398100000000002,88.48350000000006,314.151809184,44.760000000000005,13.906495853751712,7.375123624810175,5.440639392012373,4.178702522187401,2.8612264627744595,13.906495853751712,7.375123624810175,5.440639392012373,4.178702522187401,2.8612264627744595,0.3157894736842105,-2.1699999999999995,17.18807448091896,7.397352338359766,3.2815759429555085,136.54524991490166,0,2,0,1,0,4,0,4,0,2,6,0,0,23,0,4,122,0.3373417756862988,-0.46541752129854386,1,1,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.0651800000000016,65.25600000000004,217.146664228,33.019999999999996,10.449320013098498,5.615610129219537,4.242561269300168,3.3607241731390403,1.712535037147008,10.449320013098498,5.615610129219537,4.242561269300168,3.3607241731390403,1.712535037147008,0.5,-1.33,12.738166325835037,5.136186571808611,2.2537202592535364,97.85706494564543,0,1,0,2,0,2,0,2,0,1,4,0,0,16,0,2,86,0.10515609227485645,-0.3797394934683776,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.7040399999999998,55.92100000000003,211.074561908,80.6,8.713990692101493,4.585496886273008,3.1259844779289314,2.221908676239665,1.345339219516995,8.713990692101493,4.585496886273008,3.1259844779289314,2.221908676239665,1.345339219516995,0.25,-2.349999999999999,11.723260073260073,5.511286102929963,2.3624512244724643,93.91234007978964,0,1,0,2,0,4,0,4,0,1,3,0,0,16,0,4,78,0.16288866221922396,-0.3647574900275257,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.85224,66.48400000000004,255.100776656,89.82999999999998,10.751995494562278,5.540838687534486,4.085639540154971,2.8401247373464864,1.6346567988430147,10.751995494562278,5.540838687534486,4.085639540154971,2.8401247373464864,1.6346567988430147,0.35714285714285715,-2.3899999999999992,14.670204695966284,6.517817714017332,3.0859756453794085,111.75576953808977,0,1,0,2,0,5,0,5,0,1,5,0,0,19,0,5,96,0.16864880825371523,-0.35859361135144546,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.98596,55.99800000000003,200.094963004,56.809999999999995,8.819183339408832,4.569057616197827,3.5660765500183715,2.3309112131663956,1.381447648538736,8.819183339408832,4.569057616197827,3.5660765500183715,2.3309112131663956,1.381447648538736,0.3333333333333333,-1.8399999999999999,11.235987841945288,4.592300258107086,2.3401509958507467,89.51976039832093,0,1,0,1,0,3,0,3,0,1,3,0,0,15,0,3,76,0.10262171106363176,-0.3826852998444781,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3.951400000000003,78.05940000000004,271.120843404,52.370000000000005,11.575217670784731,6.417158647408987,5.289594950090162,3.2024821701213337,1.8981396193183786,11.575217670784731,6.417158647408987,5.289594950090162,3.2024821701213337,1.8981396193183786,0.25,-2.36,14.057672088268342,5.735329563798033,3.348466454950686,117.7147867351541,0,2,0,0,0,3,0,4,0,2,5,0,0,20,0,4,104,0.2689425586346058,-0.4926928134354848,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2.01506,62.369000000000035,230.105527688,66.03999999999999,10.097675117875774,5.1409291908854895,3.638051825448062,2.8614093683437245,1.6012986520617711,10.097675117875774,5.1409291908854895,3.638051825448062,2.8614093683437245,1.6012986520617711,0.38461538461538464,-2.04,13.026844919786097,5.337192471301206,2.224662629834885,100.9982477422244,0,1,0,1,0,4,0,4,0,1,4,0,0,17,0,4,88,0.1936683119846007,-0.4967681938010671,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.7434800000000017,65.78540000000002,297.99530431200003,76.16,9.383887881348864,4.784572747906172,3.6698868938403826,2.5709157727458645,1.411408561248892,10.969884420463567,5.700248276697862,4.501547627485028,3.860414270786355,1.7781169541535735,0.36363636363636365,-1.4499999999999997,13.614308681672028,5.253497032954607,2.624432906456407,107.28276193059676,0,1,0,2,0,4,0,6,0,1,4,0,0,17,0,5,90,0.2689437408963869,-0.36818609660868795,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5.026260000000004,100.97400000000002,338.14191319599996,56.809999999999995,14.46292951930817,8.3112488256408,6.001420863227663,4.531377853231497,3.1695919636890566,14.46292951930817,8.3112488256408,6.001420863227663,4.531377853231497,3.1695919636890566,0.13043478260869565,-3.399999999999999,17.423914336704346,7.656600621470814,3.0908528488181353,153.26900669605234,0,3,0,1,0,3,0,3,0,3,5,0,0,26,0,3,126,0.19808978085775822,-0.3735927625135419,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
